RecordNumber	Zipcode	ZipCodeType	City	State	LocationType	Lat	Long	Xaxis	Yaxis	Zaxis	WorldRegion	Country	LocationText	Location	Decommisioned	TaxReturnsFiled	EstimatedPopulation	TotalWages	Notes
32703	57568	STANDARD	EDNA	SD	NOT ACCEPTABLE	43.9	-100.05	-0.12	-0.7	0.69	NA	US	"Edna, SD"	NA-US-SD-EDNA	FALSE	388	663	7748710	
32704	57568	STANDARD	HILMOE	SD	NOT ACCEPTABLE	43.9	-100.05	-0.12	-0.7	0.69	NA	US	"Hilmoe, SD"	NA-US-SD-HILMOE	FALSE	388	663	7748710	
32705	57568	STANDARD	SWEENEY	SD	NOT ACCEPTABLE	43.9	-100.05	-0.12	-0.7	0.69	NA	US	"Sweeney, SD"	NA-US-SD-SWEENEY	FALSE	388	663	7748710	
32706	57773	PO BOX	PRINGLE	SD	PRIMARY	43.6	-103.59	-0.17	-0.7	0.68	NA	US	"Pringle, SD"	NA-US-SD-PRINGLE	FALSE				
32707	57370	STANDARD	PUKWANA	SD	PRIMARY	43.77	-99.18	-0.11	-0.71	0.69	NA	US	"Pukwana, SD"	NA-US-SD-PUKWANA	FALSE	360	655	7514803	
32708	57370	STANDARD	SHELBY	SD	NOT ACCEPTABLE	43.77	-99.18	-0.11	-0.71	0.69	NA	US	"Shelby, SD"	NA-US-SD-SHELBY	FALSE	360	655	7514803	
32709	57775	STANDARD	QUINN	SD	PRIMARY	43.98	-102.12	-0.15	-0.7	0.69	NA	US	"Quinn, SD"	NA-US-SD-QUINN	FALSE				
32710	57775	STANDARD	COTTONWOOD	SD	ACCEPTABLE	43.98	-102.12	-0.15	-0.7	0.69	NA	US	"Cottonwood, SD"	NA-US-SD-COTTONWOOD	FALSE				
32711	57775	STANDARD	CACTUS FLATS	SD	NOT ACCEPTABLE	43.98	-102.12	-0.15	-0.7	0.69	NA	US	"Cactus Flats, SD"	NA-US-SD-CACTUS FLATS	FALSE				
32712	57054	STANDARD	RAMONA	SD	PRIMARY	44.12	-97.21	-0.09	-0.71	0.69	NA	US	"Ramona, SD"	NA-US-SD-RAMONA	FALSE				
32713	57701	STANDARD	RAPID CITY	SD	PRIMARY	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Rapid City, SD"	NA-US-SD-RAPID CITY	FALSE	19479	31822	532637888	
32714	57701	STANDARD	JOLLY ACRES	SD	NOT ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Jolly Acres, SD"	NA-US-SD-JOLLY ACRES	FALSE	19479	31822	532637888	
32715	57701	STANDARD	OLD TOWN	SD	NOT ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Old Town, SD"	NA-US-SD-OLD TOWN	FALSE	19479	31822	532637888	
32716	57701	STANDARD	ROCKERVILLE	SD	NOT ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Rockerville, SD"	NA-US-SD-ROCKERVILLE	FALSE	19479	31822	532637888	
32717	57702	STANDARD	RAPID CITY	SD	PRIMARY	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Rapid City, SD"	NA-US-SD-RAPID CITY	FALSE	17198	29801	666683759	
32718	57702	STANDARD	ROCKERVILLE	SD	ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Rockerville, SD"	NA-US-SD-ROCKERVILLE	FALSE	17198	29801	666683759	
32719	57702	STANDARD	SILVER CITY	SD	ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Silver City, SD"	NA-US-SD-SILVER CITY	FALSE	17198	29801	666683759	
32720	57702	STANDARD	HISEGA	SD	NOT ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Hisega, SD"	NA-US-SD-HISEGA	FALSE	17198	29801	666683759	
32721	57702	STANDARD	PACTOLA LAKE	SD	NOT ACCEPTABLE	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Pactola Lake, SD"	NA-US-SD-PACTOLA LAKE	FALSE	17198	29801	666683759	
32722	57703	STANDARD	RAPID CITY	SD	PRIMARY	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Rapid City, SD"	NA-US-SD-RAPID CITY	FALSE	6760	12052	226772813	
32723	57709	PO BOX	RAPID CITY	SD	PRIMARY	44.07	-103.23	-0.16	-0.69	0.69	NA	US	"Rapid City, SD"	NA-US-SD-RAPID CITY	FALSE	1679	2528	47339015	
32724	57258	STANDARD	RAYMOND	SD	PRIMARY	44.91	-97.93	-0.09	-0.7	0.7	NA	US	"Raymond, SD"	NA-US-SD-RAYMOND	FALSE				
32725	57258	STANDARD	CLARK COLONY	SD	NOT ACCEPTABLE	44.91	-97.93	-0.09	-0.7	0.7	NA	US	"Clark Colony, SD"	NA-US-SD-CLARK COLONY	FALSE				
32726	57469	STANDARD	REDFIELD	SD	PRIMARY	44.87	-98.52	-0.1	-0.7	0.7	NA	US	"Redfield, SD"	NA-US-SD-REDFIELD	FALSE	1517	2606	38720202	
32727	57469	STANDARD	ZELL	SD	ACCEPTABLE	44.87	-98.52	-0.1	-0.7	0.7	NA	US	"Zell, SD"	NA-US-SD-ZELL	FALSE	1517	2606	38720202	
32728	57776	PO BOX	REDIG	SD	PRIMARY	45.27	-103.54	-0.16	-0.68	0.71	NA	US	"Redig, SD"	NA-US-SD-REDIG	FALSE				
32729	57371	STANDARD	REE HEIGHTS	SD	PRIMARY	44.51	-99.2	-0.11	-0.7	0.7	NA	US	"Ree Heights, SD"	NA-US-SD-REE HEIGHTS	FALSE				
32730	57569	STANDARD	RELIANCE	SD	PRIMARY	43.88	-99.6	-0.12	-0.71	0.69	NA	US	"Reliance, SD"	NA-US-SD-RELIANCE	FALSE				
32731	57569	STANDARD	GRASS ROPE	SD	NOT ACCEPTABLE	43.88	-99.6	-0.12	-0.71	0.69	NA	US	"Grass Rope, SD"	NA-US-SD-GRASS ROPE	FALSE				
32732	57569	STANDARD	LYMAN	SD	NOT ACCEPTABLE	43.88	-99.6	-0.12	-0.71	0.69	NA	US	"Lyman, SD"	NA-US-SD-LYMAN	FALSE				
32733	57651	STANDARD	REVA	SD	PRIMARY	45.54	-103.08	-0.15	-0.68	0.71	NA	US	"Reva, SD"	NA-US-SD-REVA	FALSE				
32734	57259	STANDARD	REVILLO	SD	PRIMARY	45.01	-96.57	-0.08	-0.7	0.7	NA	US	"Revillo, SD"	NA-US-SD-REVILLO	FALSE	250	447	5406567	
32735	57259	STANDARD	ALBEE	SD	ACCEPTABLE	45.01	-96.57	-0.08	-0.7	0.7	NA	US	"Albee, SD"	NA-US-SD-ALBEE	FALSE	250	447	5406567	
32736	57652	STANDARD	RIDGEVIEW	SD	PRIMARY	45.08	-100.8	-0.13	-0.69	0.7	NA	US	"Ridgeview, SD"	NA-US-SD-RIDGEVIEW	FALSE				
32737	57652	STANDARD	LA PLANT	SD	ACCEPTABLE	45.08	-100.8	-0.13	-0.69	0.7	NA	US	"La Plant, SD"	NA-US-SD-LA PLANT	FALSE				
32738	57470	STANDARD	ROCKHAM	SD	PRIMARY	44.9	-98.82	-0.1	-0.69	0.7	NA	US	"Rockham, SD"	NA-US-SD-ROCKHAM	FALSE				
32739	57471	STANDARD	ROSCOE	SD	PRIMARY	45.45	-99.33	-0.11	-0.69	0.71	NA	US	"Roscoe, SD"	NA-US-SD-ROSCOE	FALSE	320	573	6051349	
32740	57471	STANDARD	GLEN	SD	NOT ACCEPTABLE	45.45	-99.33	-0.11	-0.69	0.71	NA	US	"Glen, SD"	NA-US-SD-GLEN	FALSE	320	573	6051349	
32741	57471	STANDARD	GRETNA	SD	NOT ACCEPTABLE	45.45	-99.33	-0.11	-0.69	0.71	NA	US	"Gretna, SD"	NA-US-SD-GRETNA	FALSE	320	573	6051349	
32742	57471	STANDARD	LOYALTON	SD	NOT ACCEPTABLE	45.45	-99.33	-0.11	-0.69	0.71	NA	US	"Loyalton, SD"	NA-US-SD-LOYALTON	FALSE	320	573	6051349	
32743	57570	PO BOX	ROSEBUD	SD	PRIMARY	43.23	-100.83	-0.13	-0.71	0.68	NA	US	"Rosebud, SD"	NA-US-SD-ROSEBUD	FALSE	741	1399	17240936	
32744	57570	PO BOX	ROSEBUD INDIAN RESERVATION	SD	NOT ACCEPTABLE	43.23	-100.83	-0.13	-0.71	0.68	NA	US	"Rosebud Indian Reservation, SD"	NA-US-SD-ROSEBUD INDIAN RESERVATION	FALSE	741	1399	17240936	
32745	57570	PO BOX	YANKTON INDIAN RESERVATION	SD	NOT ACCEPTABLE	43.23	-100.83	-0.13	-0.71	0.68	NA	US	"Yankton Indian Reservation, SD"	NA-US-SD-YANKTON INDIAN RESERVATION	FALSE	741	1399	17240936	
32746	57260	STANDARD	ROSHOLT	SD	PRIMARY	45.86	-96.73	-0.08	-0.69	0.71	NA	US	"Rosholt, SD"	NA-US-SD-ROSHOLT	FALSE	465	837	11991598	
32747	57260	STANDARD	VICTOR	SD	NOT ACCEPTABLE	45.86	-96.73	-0.08	-0.69	0.71	NA	US	"Victor, SD"	NA-US-SD-VICTOR	FALSE	465	837	11991598	
32748	57260	STANDARD	WHITE ROCK	SD	NOT ACCEPTABLE	45.86	-96.73	-0.08	-0.69	0.71	NA	US	"White Rock, SD"	NA-US-SD-WHITE ROCK	FALSE	465	837	11991598	
32749	57261	STANDARD	ROSLYN	SD	PRIMARY	45.49	-97.49	-0.09	-0.69	0.71	NA	US	"Roslyn, SD"	NA-US-SD-ROSLYN	FALSE				
32750	57572	STANDARD	SAINT FRANCIS	SD	PRIMARY	43.14	-100.9	-0.13	-0.71	0.68	NA	US	"Saint Francis, SD"	NA-US-SD-SAINT FRANCIS	FALSE	481	896	8944424	
32751	57572	STANDARD	SPRING CREEK	SD	NOT ACCEPTABLE	43.14	-100.9	-0.13	-0.71	0.68	NA	US	"Spring Creek, SD"	NA-US-SD-SPRING CREEK	FALSE	481	896	8944424	
32752	57373	STANDARD	SAINT LAWRENCE	SD	PRIMARY	44.51	-98.94	-0.11	-0.7	0.7	NA	US	"Saint Lawrence, SD"	NA-US-SD-SAINT LAWRENCE	FALSE				
32753	57373	STANDARD	ST LAWRENCE	SD	ACCEPTABLE	44.51	-98.94	-0.11	-0.7	0.7	NA	US	"St Lawrence, SD"	NA-US-SD-ST LAWRENCE	FALSE				
32754	57779	STANDARD	SAINT ONGE	SD	PRIMARY	44.56	-103.74	-0.16	-0.69	0.7	NA	US	"Saint Onge, SD"	NA-US-SD-SAINT ONGE	FALSE				
32755	57058	STANDARD	SALEM	SD	PRIMARY	43.72	-97.38	-0.09	-0.71	0.69	NA	US	"Salem, SD"	NA-US-SD-SALEM	FALSE	926	1681	26331559	
32756	57058	STANDARD	CENTER	SD	NOT ACCEPTABLE	43.72	-97.38	-0.09	-0.71	0.69	NA	US	"Center, SD"	NA-US-SD-CENTER	FALSE	926	1681	26331559	
32757	57058	STANDARD	UNITYVILLE	SD	NOT ACCEPTABLE	43.72	-97.38	-0.09	-0.71	0.69	NA	US	"Unityville, SD"	NA-US-SD-UNITYVILLE	FALSE	926	1681	26331559	
32758	57780	STANDARD	SCENIC	SD	PRIMARY	43.78	-102.55	-0.15	-0.7	0.69	NA	US	"Scenic, SD"	NA-US-SD-SCENIC	FALSE				
32759	57780	STANDARD	CONATA	SD	NOT ACCEPTABLE	43.78	-102.55	-0.15	-0.7	0.69	NA	US	"Conata, SD"	NA-US-SD-CONATA	FALSE				
32760	57780	STANDARD	IMLAY	SD	NOT ACCEPTABLE	43.78	-102.55	-0.15	-0.7	0.69	NA	US	"Imlay, SD"	NA-US-SD-IMLAY	FALSE				
32761	57059	STANDARD	SCOTLAND	SD	PRIMARY	43.14	-97.71	-0.09	-0.72	0.68	NA	US	"Scotland, SD"	NA-US-SD-SCOTLAND	FALSE	616	1075	13693668	
32762	57420	PO BOX	AKASKA	SD	PRIMARY	45.33	-100.12	-0.12	-0.69	0.71	NA	US	"Akaska, SD"	NA-US-SD-AKASKA	FALSE				
32763	57472	STANDARD	SELBY	SD	PRIMARY	45.5	-100.03	-0.12	-0.69	0.71	NA	US	"Selby, SD"	NA-US-SD-SELBY	FALSE	481	848	10733390	
32764	57472	STANDARD	LOWRY	SD	ACCEPTABLE	45.5	-100.03	-0.12	-0.69	0.71	NA	US	"Lowry, SD"	NA-US-SD-LOWRY	FALSE	481	848	10733390	
32765	57472	STANDARD	SITKA	SD	NOT ACCEPTABLE	45.5	-100.03	-0.12	-0.69	0.71	NA	US	"Sitka, SD"	NA-US-SD-SITKA	FALSE	481	848	10733390	
32766	57473	STANDARD	SENECA	SD	PRIMARY	45.06	-99.5	-0.11	-0.69	0.7	NA	US	"Seneca, SD"	NA-US-SD-SENECA	FALSE				
32767	57061	PO BOX	SINAI	SD	PRIMARY	44.24	-97.04	-0.08	-0.71	0.69	NA	US	"Sinai, SD"	NA-US-SD-SINAI	FALSE				
32768	57061	PO BOX	LAKE SINAI	SD	NOT ACCEPTABLE	44.24	-97.04	-0.08	-0.71	0.69	NA	US	"Lake Sinai, SD"	NA-US-SD-LAKE SINAI	FALSE				
32769	57101	PO BOX	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	525	766	13279030	
32770	57103	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	17357	29619	688511185	
32771	57104	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	12706	18944	326269387	
32772	57105	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	11776	18748	446909137	
32773	57106	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	22318	38092	803331158	
32774	57106	STANDARD	SHINDLER	SD	NOT ACCEPTABLE	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Shindler, SD"	NA-US-SD-SHINDLER	FALSE	22318	38092	803331158	
32775	57107	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	3926	6663	134284661	
32776	57107	STANDARD	BUFFALO RIDGE	SD	ACCEPTABLE	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Buffalo Ridge, SD"	NA-US-SD-BUFFALO RIDGE	FALSE	3926	6663	134284661	
32777	57107	STANDARD	ELLIS	SD	NOT ACCEPTABLE	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Ellis, SD"	NA-US-SD-ELLIS	FALSE	3926	6663	134284661	
32778	57108	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	8349	15323	649118790	
32779	57109	PO BOX	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	530	815	17447412	
32780	57110	STANDARD	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE	5867	10783	277044875	
32781	57117	PO BOX	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE				
32782	57118	PO BOX	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE				
32783	57186	UNIQUE	SIOUX FALLS	SD	PRIMARY	43.55	-96.7	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE				"no NWS data, "
32784	57186	UNIQUE	PAYTRUST	SD	NOT ACCEPTABLE	43.55	-96.7	-0.08	-0.71	0.68	NA	US	"Paytrust, SD"	NA-US-SD-PAYTRUST	FALSE				
32785	57193	UNIQUE	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE				
32786	57193	UNIQUE	MIDLAND LIFE INS CO	SD	NOT ACCEPTABLE	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Midland Life Ins Co, SD"	NA-US-SD-MIDLAND LIFE INS CO	FALSE				
32787	57197	UNIQUE	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE				
32788	57197	UNIQUE	AUGUSTANA COLLEGE	SD	NOT ACCEPTABLE	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Augustana College, SD"	NA-US-SD-AUGUSTANA COLLEGE	FALSE				
32789	57198	UNIQUE	SIOUX FALLS	SD	PRIMARY	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Sioux Falls, SD"	NA-US-SD-SIOUX FALLS	FALSE				
32790	57198	UNIQUE	EARTH RESOURCES OBS	SD	NOT ACCEPTABLE	43.54	-96.73	-0.08	-0.71	0.68	NA	US	"Earth Resources Obs, SD"	NA-US-SD-EARTH RESOURCES OBS	FALSE				
32791	57262	STANDARD	SISSETON	SD	PRIMARY	45.66	-97.04	-0.08	-0.69	0.71	NA	US	"Sisseton, SD"	NA-US-SD-SISSETON	FALSE	2277	3924	52745211	
32792	57262	STANDARD	AGENCY VILLAGE	SD	ACCEPTABLE	45.66	-97.04	-0.08	-0.69	0.71	NA	US	"Agency Village, SD"	NA-US-SD-AGENCY VILLAGE	FALSE	2277	3924	52745211	
32793	57262	STANDARD	AGENCY VLG	SD	ACCEPTABLE	45.66	-97.04	-0.08	-0.69	0.71	NA	US	"Agency Vlg, SD"	NA-US-SD-AGENCY VLG	FALSE	2277	3924	52745211	
32794	57262	STANDARD	DRY WOOD LAKE	SD	NOT ACCEPTABLE	45.66	-97.04	-0.08	-0.69	0.71	NA	US	"Dry Wood Lake, SD"	NA-US-SD-DRY WOOD LAKE	FALSE	2277	3924	52745211	
32795	57262	STANDARD	TEKAKWITHA	SD	NOT ACCEPTABLE	45.66	-97.04	-0.08	-0.69	0.71	NA	US	"Tekakwitha, SD"	NA-US-SD-TEKAKWITHA	FALSE	2277	3924	52745211	
32796	57263	STANDARD	SOUTH SHORE	SD	PRIMARY	45.1	-96.93	-0.08	-0.7	0.7	NA	US	"South Shore, SD"	NA-US-SD-SOUTH SHORE	FALSE				
32797	57783	STANDARD	SPEARFISH	SD	PRIMARY	44.48	-103.84	-0.17	-0.69	0.7	NA	US	"Spearfish, SD"	NA-US-SD-SPEARFISH	FALSE	6992	11707	217562811	
32798	57799	UNIQUE	SPEARFISH	SD	PRIMARY	44.48	-103.84	-0.17	-0.69	0.7	NA	US	"Spearfish, SD"	NA-US-SD-SPEARFISH	FALSE				
32799	57799	UNIQUE	BLACK HILLS STATE UNIVERSITY	SD	NOT ACCEPTABLE	44.48	-103.84	-0.17	-0.69	0.7	NA	US	"Black Hills State University, SD"	NA-US-SD-BLACK HILLS STATE UNIVERSITY	FALSE				
32800	57374	STANDARD	SPENCER	SD	PRIMARY	43.72	-97.59	-0.09	-0.71	0.69	NA	US	"Spencer, SD"	NA-US-SD-SPENCER	FALSE				
32801	57062	STANDARD	SPRINGFIELD	SD	PRIMARY	42.85	-97.89	-0.1	-0.72	0.68	NA	US	"Springfield, SD"	NA-US-SD-SPRINGFIELD	FALSE	665	1110	13489315	
32802	57062	STANDARD	RUNNING WATER	SD	ACCEPTABLE	42.85	-97.89	-0.1	-0.72	0.68	NA	US	"Running Water, SD"	NA-US-SD-RUNNING WATER	FALSE	665	1110	13489315	
32803	57375	STANDARD	STICKNEY	SD	PRIMARY	43.58	-98.43	-0.1	-0.71	0.68	NA	US	"Stickney, SD"	NA-US-SD-STICKNEY	FALSE	325	599	7008785	
32804	57375	STANDARD	AURORA CENTER	SD	NOT ACCEPTABLE	43.58	-98.43	-0.1	-0.71	0.68	NA	US	"Aurora Center, SD"	NA-US-SD-AURORA CENTER	FALSE	325	599	7008785	
32805	57264	STANDARD	STOCKHOLM	SD	PRIMARY	45.1	-96.79	-0.08	-0.7	0.7	NA	US	"Stockholm, SD"	NA-US-SD-STOCKHOLM	FALSE				
32806	57265	STANDARD	STRANDBURG	SD	PRIMARY	45.04	-96.76	-0.08	-0.7	0.7	NA	US	"Strandburg, SD"	NA-US-SD-STRANDBURG	FALSE				
32807	57265	STANDARD	TROY	SD	NOT ACCEPTABLE	45.04	-96.76	-0.08	-0.7	0.7	NA	US	"Troy, SD"	NA-US-SD-TROY	FALSE				
32808	57785	STANDARD	STURGIS	SD	PRIMARY	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Sturgis, SD"	NA-US-SD-STURGIS	FALSE	4521	7646	130167256	
32809	57785	STANDARD	HEREFORD	SD	ACCEPTABLE	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Hereford, SD"	NA-US-SD-HEREFORD	FALSE	4521	7646	130167256	
32810	57785	STANDARD	MARCUS	SD	ACCEPTABLE	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Marcus, SD"	NA-US-SD-MARCUS	FALSE	4521	7646	130167256	
32811	57785	STANDARD	BEAR BUTTE	SD	NOT ACCEPTABLE	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Bear Butte, SD"	NA-US-SD-BEAR BUTTE	FALSE	4521	7646	130167256	
32812	57785	STANDARD	CLOUGH	SD	NOT ACCEPTABLE	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Clough, SD"	NA-US-SD-CLOUGH	FALSE	4521	7646	130167256	
32813	57785	STANDARD	FAIRPOINT	SD	NOT ACCEPTABLE	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Fairpoint, SD"	NA-US-SD-FAIRPOINT	FALSE	4521	7646	130167256	
32814	57785	STANDARD	VOLUNTEER	SD	NOT ACCEPTABLE	44.41	-103.51	-0.16	-0.69	0.69	NA	US	"Volunteer, SD"	NA-US-SD-VOLUNTEER	FALSE	4521	7646	130167256	
32815	57266	STANDARD	SUMMIT	SD	PRIMARY	45.3	-97.03	-0.08	-0.69	0.71	NA	US	"Summit, SD"	NA-US-SD-SUMMIT	FALSE	257	450	6980465	
32816	57063	STANDARD	TABOR	SD	PRIMARY	42.94	-97.65	-0.09	-0.72	0.68	NA	US	"Tabor, SD"	NA-US-SD-TABOR	FALSE	418	752	11259298	
32817	57063	STANDARD	JANOUSEK	SD	NOT ACCEPTABLE	42.94	-97.65	-0.09	-0.72	0.68	NA	US	"Janousek, SD"	NA-US-SD-JANOUSEK	FALSE	418	752	11259298	
32818	57063	STANDARD	LAKEPORT	SD	NOT ACCEPTABLE	42.94	-97.65	-0.09	-0.72	0.68	NA	US	"Lakeport, SD"	NA-US-SD-LAKEPORT	FALSE	418	752	11259298	
32819	57064	STANDARD	TEA	SD	PRIMARY	43.44	-96.83	-0.08	-0.72	0.68	NA	US	"Tea, SD"	NA-US-SD-TEA	FALSE	2175	4252	98761835	
32820	57630	STANDARD	GLENCROSS	SD	PRIMARY	45.43	-100.88	-0.13	-0.68	0.71	NA	US	"Glencross, SD"	NA-US-SD-GLENCROSS	FALSE				
32821	57656	STANDARD	TIMBER LAKE	SD	PRIMARY	45.42	-101.07	-0.13	-0.68	0.71	NA	US	"Timber Lake, SD"	NA-US-SD-TIMBER LAKE	FALSE	355	650	9049708	
32822	57475	STANDARD	TOLSTOY	SD	PRIMARY	45.2	-99.61	-0.11	-0.69	0.7	NA	US	"Tolstoy, SD"	NA-US-SD-TOLSTOY	FALSE				
32823	57268	STANDARD	TORONTO	SD	PRIMARY	44.57	-96.64	-0.08	-0.7	0.7	NA	US	"Toronto, SD"	NA-US-SD-TORONTO	FALSE				
32824	57268	STANDARD	JOHNSONVILLE	SD	NOT ACCEPTABLE	44.57	-96.64	-0.08	-0.7	0.7	NA	US	"Johnsonville, SD"	NA-US-SD-JOHNSONVILLE	FALSE				
32825	57657	STANDARD	TRAIL CITY	SD	PRIMARY	45.47	-100.73	-0.13	-0.68	0.71	NA	US	"Trail City, SD"	NA-US-SD-TRAIL CITY	FALSE				
32826	57065	STANDARD	TRENT	SD	PRIMARY	43.9	-96.65	-0.08	-0.71	0.69	NA	US	"Trent, SD"	NA-US-SD-TRENT	FALSE				
32827	57376	STANDARD	TRIPP	SD	PRIMARY	43.22	-97.96	-0.1	-0.72	0.68	NA	US	"Tripp, SD"	NA-US-SD-TRIPP	FALSE	459	792	9644392	
32828	57476	STANDARD	TULARE	SD	PRIMARY	44.73	-98.5	-0.1	-0.7	0.7	NA	US	"Tulare, SD"	NA-US-SD-TULARE	FALSE				
32829	57476	STANDARD	SPOTTWOOD	SD	NOT ACCEPTABLE	44.73	-98.5	-0.1	-0.7	0.7	NA	US	"Spottwood, SD"	NA-US-SD-SPOTTWOOD	FALSE				
32830	57477	STANDARD	TURTON	SD	PRIMARY	45.04	-98.09	-0.09	-0.69	0.7	NA	US	"Turton, SD"	NA-US-SD-TURTON	FALSE				
32831	57269	STANDARD	TWIN BROOKS	SD	PRIMARY	45.2	-96.78	-0.08	-0.69	0.7	NA	US	"Twin Brooks, SD"	NA-US-SD-TWIN BROOKS	FALSE				
32832	57066	STANDARD	TYNDALL	SD	PRIMARY	42.98	-97.86	-0.1	-0.72	0.68	NA	US	"Tyndall, SD"	NA-US-SD-TYNDALL	FALSE	741	1304	18147342	
32833	57066	STANDARD	KINGSBURY	SD	NOT ACCEPTABLE	42.98	-97.86	-0.1	-0.72	0.68	NA	US	"Kingsbury, SD"	NA-US-SD-KINGSBURY	FALSE	741	1304	18147342	
32834	57787	STANDARD	UNION CENTER	SD	PRIMARY	44.56	-102.66	-0.15	-0.69	0.7	NA	US	"Union Center, SD"	NA-US-SD-UNION CENTER	FALSE				
32835	57787	STANDARD	RED OWL	SD	ACCEPTABLE	44.56	-102.66	-0.15	-0.69	0.7	NA	US	"Red Owl, SD"	NA-US-SD-RED OWL	FALSE				
32836	57787	STANDARD	STONEVILLE	SD	ACCEPTABLE	44.56	-102.66	-0.15	-0.69	0.7	NA	US	"Stoneville, SD"	NA-US-SD-STONEVILLE	FALSE				
32837	57787	STANDARD	CHALK BUTTE	SD	NOT ACCEPTABLE	44.56	-102.66	-0.15	-0.69	0.7	NA	US	"Chalk Butte, SD"	NA-US-SD-CHALK BUTTE	FALSE				
32838	57067	STANDARD	UTICA	SD	PRIMARY	42.98	-97.49	-0.09	-0.72	0.68	NA	US	"Utica, SD"	NA-US-SD-UTICA	FALSE				
32839	57067	STANDARD	JANESVILLE	SD	NOT ACCEPTABLE	42.98	-97.49	-0.09	-0.72	0.68	NA	US	"Janesville, SD"	NA-US-SD-JANESVILLE	FALSE				
32840	57788	STANDARD	VALE	SD	PRIMARY	44.61	-103.4	-0.16	-0.69	0.7	NA	US	"Vale, SD"	NA-US-SD-VALE	FALSE				
32841	57068	STANDARD	VALLEY SPRINGS	SD	PRIMARY	43.58	-96.46	-0.08	-0.71	0.68	NA	US	"Valley Springs, SD"	NA-US-SD-VALLEY SPRINGS	FALSE	768	1402	29355413	
